Gene,F_score,p_value,p_value_FDR,Rejected_FDR_0.05
PRAC1,1882.7472303857767,0.0,0.0,True
ACSM2B,1595.3722434235724,0.0,0.0,True
CFHR2,1581.6617175028289,0.0,0.0,True
GRHL2,1576.0098821992865,0.0,0.0,True
KLK3,1414.3313103123367,0.0,0.0,True
SLC17A3,1392.3528646059417,0.0,0.0,True
SLC17A2,1353.4720978837731,0.0,0.0,True
F13B,1289.6360242372439,0.0,0.0,True
SLC17A1,1271.0058271914338,0.0,0.0,True
SLC2A2,1230.5442437130998,0.0,0.0,True
CHRNA2,1220.7071461708515,0.0,0.0,True
TG,1185.8576427753417,0.0,0.0,True
NR1H4,1183.244967823852,0.0,0.0,True
NKX2-1,1158.8671909705286,0.0,0.0,True
RAB25,1153.4859619846432,0.0,0.0,True
APCS,1134.333347348815,0.0,0.0,True
F9,1125.5212699147232,0.0,0.0,True
SLC17A4,1116.0944556391269,0.0,0.0,True
SLC45A3,1101.020910499551,0.0,0.0,True
ACP3,1097.67754437006,0.0,0.0,True
ESRP1,1082.2740107041104,0.0,0.0,True
TM4SF5,1080.9785807780754,0.0,0.0,True
OR51E2,1079.4337914891444,0.0,0.0,True
HNF4A,1079.1208448926484,0.0,0.0,True
nan,1070.3918334239409,0.0,0.0,True
KCNJ16,1065.9854791755276,0.0,0.0,True
UGT2A3,1062.7052100973765,0.0,0.0,True
OVOL2,1053.0660796643465,0.0,0.0,True
RBBP8NL,1052.0851290126793,0.0,0.0,True
TMEFF2,1044.9983778782828,0.0,0.0,True
APOA2,1044.898471551418,0.0,0.0,True
SERPINC1,1027.6425124032517,0.0,0.0,True
SLC6A13,1019.7038758591027,0.0,0.0,True
NAT8,1011.7630750794467,0.0,0.0,True
SLC28A1,1009.4467178720336,0.0,0.0,True
TSHR,1006.9091356873594,0.0,0.0,True
CDHR5,994.7036124589014,0.0,0.0,True
GAL3ST1,994.6879739340369,0.0,0.0,True
PAX8,988.4526768136079,0.0,0.0,True
CFHR5,972.3721521442512,0.0,0.0,True
APOC3,965.6835894524526,0.0,0.0,True
NECTIN4,957.777152178462,0.0,0.0,True
CCDC198,954.252316759729,0.0,0.0,True
NKX3-1,953.0149516175887,0.0,0.0,True
ITIH1,952.6191781149972,0.0,0.0,True
SLC22A2,947.3905637707397,0.0,0.0,True
AGXT2,943.0949155082392,0.0,0.0,True
CNKSR1,940.6074515609604,0.0,0.0,True
GLYAT,938.7226013612354,0.0,0.0,True
FEV,935.905661729465,0.0,0.0,True
MOGAT3,929.6603090168257,0.0,0.0,True
MBL2,927.1104569026902,0.0,0.0,True
VTN,926.7814476565097,0.0,0.0,True
ALDH3B2,923.8177587534864,0.0,0.0,True
ARHGAP6,918.7816362467945,0.0,0.0,True
TFAP2C,914.6000157997581,0.0,0.0,True
DMGDH,912.768863635641,0.0,0.0,True
AHSG,911.4601194697591,0.0,0.0,True
CREB3L3,909.224526034029,0.0,0.0,True
A1CF,908.1509253475904,0.0,0.0,True
SPDEF,906.9873314496942,0.0,0.0,True
LMAN1L,905.0288390240357,0.0,0.0,True
SERPINA7,878.7162257524094,0.0,0.0,True
HAO1,873.318887975081,0.0,0.0,True
